Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
"The loan-to-value ratio is an important underwriting criterion, for the primary reason that",borrowers with no equity will default and abandon the property,the lender wants to ensure the loan is fully collateralized,a borrower can only afford to borrow a portion of the entire purchase price,a fair amount of borrower equity demonstrates good faith,b,,PREP FL 13.18
The Equal Credit Opportunity Act (ECOA) requires lenders to,extend equal credit to all prospective borrowers,consider the income of a spouse in evaluating a family's creditworthiness,discount the income of a person involved in child-rearing or child-bearing,specialize lending activity by geographical area for improved customer service,b,,PREP FL 13.19
The purpose of an income ratio in qualifying a borrower is to,safeguard against over-indebtedness,compare one's earnings to one's short-term debt,identify the highest possible interest rate that the borrower can afford,quantify the borrower's assets to the fullest extent,a,,PREP FL 13.20
A borrower's debt ratio is derived by,dividing one's total debt by one's debt payments,dividing one's gross income by one's assets,dividing one's gross income by one's debts,dividing one's debts by one's gross income,d,,PREP FL 13.21
A lender's commitment to lend funds to a borrower in order to retire another outstanding loan is called a,conditional loan commitment,firm loan commitment,take-out loan commitment,lock-in loan commitment,c,,PREP FL 13.22
The difference between a balloon loan and an amortized loan is,an amortized loan is paid off over the loan period,a balloon loan always has a shorter loan term,an amortized loan requires interest-payments,a balloon loan must be retired in five years,a,,PREP FL 13.23
The purpose of the closing event is to,confirm that the buyer has fulfilled all contract requirements prior to title transfer immediately after closing,ensure that the seller has marketable title before monies are transferred,conclude the process for loan approval,exchange legal title for the sale price,d,,PREP FL 14.1
"A buyer's financing arrangements are often concluded at closing, because",lenders do not fund loans unless title is being transferred,the lender wants to ensure proper handling of the collateral for the loan,the loan term must coincide with title transfer,the deed will be held as collateral for the loan,b,,PREP FL 14.2
The Real Estate Settlement Procedures Act prescribes closing procedures that must be followed whenever,"a first, second, or third mortgage lien is involved",the loan is to be sold to the FNMA,the buyer pays all cash for the property,the property is a residential complex in excess of four units,b,,PREP FL 14.3
"A sale contract stipulates that a buyer is to pay the seller's title insurance expenses. This practice is not customary in the area. In this case,",the buyer and seller must amend the contract before closing,"the contract is voidable, since the seller must pay the expense","the buyer may pay or not pay the expense, at his or her option",the buyer must pay the expense,d,,PREP FL 14.4
A prorated expense on the settlement statement is,a debit to the buyer and seller,a credit to the buyer and seller,a debit and credit to the buyer and seller,a debit to one party and a credit to the other,d,,PREP FL 14.5
The amount a buyer owes at closing is equal to,the excess of the buyer's debits over the buyer's credits,the excess of the buyer's credits over the buyer's debits,the excess of the seller's debits over the seller's credits,the excess of the seller's credits over the seller's debits,a,,PREP FL 14.6
Which of the following are examples of closing items not prorated between buyer and seller?,Taxes and rents,Inspection fees,Utilities and hazard insurance,Condominium assessments and special assessment payments,b,,PREP FL 14.7
Which of the following items are paid in arrears?,Taxes and insurance,Rents and interest,Taxes and interest,Rents and insurance,c,,PREP FL 14.8
Which of the following items are paid in advance?,Taxes and insurance,Rents and interest,Insurance and interest,Rents and insurance,d,,PREP FL 14.9
"If a sale contract indicates that the day of closing is ""the seller's day,"" this means that",the seller must pay prorated expenses inclusive of the day of closing,the seller does not own the property on the day of closing,the seller may elect the proration method on the day of closing,the seller must pay the buyer's portion of prorated expenses instead of the seller's portion,a,,PREP FL 14.10
"Assume a seller at closing must pay transfer taxes at the rate of $1.00 for every $500 of purchase price, or fraction thereof. If the sale price is $345,600, how much tax must the seller pay?",$69.12,$70.00,$691,$692,d,,PREP FL 14.11
"If a seller paid $488 for transfer taxes at closing, and the rate was $1.00 for every $400 or fraction thereof of the sale price, what was the sale price?","$195,500","$1,950,000","$195,200","$1,952,000",c,,PREP FL 14.12
"When a licensee receives earnest money from a buyer, the licensee must turn the money over to his or her broker",by the end of the next business day,by transaction closing,within 3 business days of receiving the money,within 3 days of receiving the money,a,,PREP FL 14.13
Who should perform the final walkthrough of the property prior to closing?,The property inspector,The property appraiser,The property seller,The property buyer,d,,PREP FL 14.14
Florida’s documentary stamp tax rate for deeds in Pinellas County is,60 cents on the dollar,70 cents on each $100 of the sale price,"60 cents on each $1,000 of the sale price",45 cents on each $100 of the sale price,b,,PREP FL 14.15
"Florida’s intangible tax on a $200,000 mortgage loan would be",$70.00,$900.00,$400.00,"$4,000.00",c,,PREP FL 14.16
Which of the following is the best definition of real estate?,Land and personal property,Unimproved land,Land and everything permanently attached to it,An ownership interest in land and improvements,c,,PREP FL 15.1
Which of the following is included in the legal concept of land?,The surface of the earth and all natural things permanently attached to the earth,Only the surface of the earth that is delineated by boundaries,The surface of the earth except for lakes and streams,"Everything above, on and below the surface of the earth",a,,PREP FL 15.2
What are the three unique physical characteristics of land?,"Fixed, unchangeable, homogeneous","Immobile, indestructible, heterogeneous","Three-dimensional, buildable, marketable","Natural, measurable, inorganic",b,,PREP FL 15.3
The primary distinction between the legal concepts of land and real estate is that,real estate includes air above the surface and minerals below the surface,real estate is indestructible,land has no defined boundaries,land does not include man-made structures,d,,PREP FL 15.4
Price is best described as,what suppliers charge for goods and services,the amount of money consumers are willing to pay for a product or service,the amount of money a buyer and seller agree to exchange to complete a transaction,a control placed on prices by the federal government,c,,PREP FL 15.5
Four principal determinants of value underlying the price for a product are,"durability, quality, scarcity, and materials","desire, utility, scarcity, and purchasing power","popularity, utility, quality, and discount","desire, costs, convenience, and time",b,,PREP FL 15.6
"A town has a rapidly growing population, but there are no longer any vacant lots around the lake to build more houses. In this case, it is likely that the price of existing homes on the lake","will stabilize, since the population must stabilize",will increase,"will decline, since no further building can take place",will not show any predictable movement,b,,PREP FL 15.7
"If there is a significant undersupply of homes in a market, construction will tend to increase. This is an example of",supply outstripping demand,overpricing products,the price mechanism,the market tending toward equilibrium,d,,PREP FL 15.8
"If commercial real estate rental prices are falling in a market, it is likely that",demand has outstripped supply of space,the market is in equilibrium,the market is over-supplied,employment is increasing,c,,PREP FL 15.9
Which of the following is an important economic characteristic of real estate?,The demand must literally come to the supply,Real estate is a highly liquid product,The product is quick to adapt to market changes,The market is centralized,a,,PREP FL 15.10
The foremost factor contributing to commercial and residential demand in a market is,marketing,base employment,existing supply of properties,household income,b,,PREP FL 15.11
A construction boom in a market is an indication that prices,have been increasing,have been declining,have been in equilibrium,have exceeded supply,a,,PREP FL 15.12
A local government could stimulate the real estate market by,increasing labor costs and curbing the money supply,increasing taxes and interest rates,declaring a moratorium on construction,expanding the sewer system,d,,PREP FL 15.13
Two important concerns of retail property users are,trade area population and spending patterns,quality of life and dwelling amenities,costs of occupancy and building efficiency,environmental regulations and access by suppliers,a,,PREP FL 15.14
Two important concerns of office property users are,trade area population and visibility,convenience and neighborhood make-up,costs of occupancy and building efficiency,environmental regulations and zoning,c,,PREP FL 15.15
"As a component of real estate value, the principle of substitution suggests that","if two similar properties are for sale, a buyer will purchase the cheaper of the two","if one of two adjacent homes is more valuable, the price of the other home will tend to rise","if too many properties are built in a market, the prices will tend to go down",people will readily move to another home if it is of equal value,a,,PREP FL 16.1
Highest and best use of a property is that use which,"is physically and financially feasible, legal, and the most productive","is legal, feasible, and deemed the most appropriate by zoning authorities",entails the largest building that zoning ordinances will allow developers to erect,conforms to other properties in the area,a,,PREP FL 16.2
The concept of market value is best described as,"the price a buyer will pay for a property, assuming other similar properties are within the same price range","the price an informed, unhurried seller will charge for a property assuming a reasonable period of exposure with other competing properties","the price a buyer and seller agree upon for a property assuming stable interest rates, appreciation rates, and prices of other similar properties","the price that a willing, informed, and unpressured seller and buyer agree upon for a property assuming a cash price and the property's reasonable exposure to the market",d,,PREP FL 16.3
A significant difference between an appraisal and a broker's opinion of value is,the appraiser tends to use only one or two of the approaches to value,the broker may not be a disinterested party,the broker is subject to government regulation in generating the opinion,the appraiser uses less current market data,b,,PREP FL 16.4
A notable weakness of the sales comparison approach to value is that,there may be no recent sale price data in the market,the approach is not based on the principle of substitution,"the approach is only accurate with unique, special purpose properties","sale prices cannot be compared, since all real estate is different",a,,PREP FL 16.5
The steps in the market data approach are,"choose nearby comparables, adjust the subject for differences, estimate the value","gather relevant price data, apply the data to the subject, estimate the value","select comparable properties, adjust the comparables, estimate the value","identify previous price paid, apply an appreciation rate, estimate the value",c,,PREP FL 16.6
"In the sales comparison approach, an adjustment is warranted if",the buyer obtains conventional financing for the property,the seller offers below-market seller financing,"a comparable is located in another, albeit similar neighborhood",one property has a hip roof and the other has a gabled roof,b,,PREP FL 16.7
"To complete the sales comparison approach, the appraiser",averages the adjustments,weights the comparables,discards all comparables having a lower value,identifies the subject's value as that of the nearest comparable,b,,PREP FL 16.8
One weakness of the cost approach for appraising market value is that,builders may not pay market value for materials or labor,market value is not always the same as what the property cost,comparables used may not have similar quality of construction,new properties have inestimable costs and rates of depreciation,b,,PREP FL 16.9
The cost of constructing a functional equivalent of a subject property is known as,reproduction cost,replacement cost,restitution cost,reconstruction cost,b,,PREP FL 16.10
An office building lacks sufficient cooling capability to accommodate modern computer equipment. This is an example of,physical deterioration,economic obsolescence,incurable depreciation,functional obsolescence,d,,PREP FL 16.11
A home is located in a neighborhood where homeowners on the block have failed to maintain their properties. This is an example of,curable external obsolescence,incurable economic obsolescence,functional obsolescence,physical deterioration,b,,PREP FL 16.12
"In appraisal, loss of value in a property from any cause is referred to as",deterioration,obsolescence,depreciation,deflation,c,,PREP FL 16.13
The first two steps in the cost approach are to estimate the value of the land and the cost of the improvements. The remaining steps are,"estimate depreciation, subtract depreciation from cost, and add back the land value","subtract deterioration from cost, estimate land depreciation, and total the two values","estimate depreciation of land and improvements, subtract from original cost","estimate obsolescence, subtract from the cost of land and improvements",a,,PREP FL 16.14
"The roof of a property cost $10,000. The economic life of the roof is 20 years. Assuming the straight-line method of depreciation, what is the depreciated value of the roof after 3 years?","$10,000","$8,500","$7,000","$1,500",b,,PREP FL 16.15
The income capitalization approach to appraising value is most applicable for which of the following property types?,Single family homes,Apartment buildings,Undeveloped land,Churches,b,,PREP FL 16.16
The steps in the income capitalization approach are:,"estimate gross income, multiply times the gross income multiplier","estimate effective income, subtract tax, apply a capitalization rate","estimate net income, and apply a capitalization rate to it","estimate potential income, apply a capitalization rate to it",c,,PREP FL 16.17
Net operating income is equal to,gross income minus potential income minus expenses,effective gross income minus debt service,potential gross income minus vacancy and credit loss minus expenses,effective gross income minus vacancy and credit loss,c,,PREP FL 16.18
"If net income on a property is $20,000 and the cap rate is 5%, the value of the property using the income capitalization method is","$100,000","$400,000","$1,000,000","$4,000,000",b,,PREP FL 16.19
The principal shortcoming of the gross rent multiplier approach to estimating value is that,numerous expenses are not taken into account,the multiplier does not relate to the market,the method is too complex and cumbersome,the method only applies to residential properties,a,,PREP FL 16.20
"If the monthly rent of a property is $3,000, and the gross rent multiplier (GRM) is 80, what is the value of the property?","$45,000","$240,000","$267,000","$288,000",b,,PREP FL 16.21
Under what circumstances may an out-of-state appraiser appraise property in Florida?,When the property is nonresidential,Under the supervision of a Florida resident appraiser,For federally related transaction appraisals,Never,c,,PREP FL 16.22
Florida statute prohibits real estate licensees from performing which property appraisals?,Residential properties with less than four units,Commercial properties,Federally related transactions,All properties,c,,PREP FL 16.23
Which of the following statements is true?,"If prepared properly, CMAs meet the qualifications of an appraisal",Appraisals can be used in preparing CMAs,Automated valuation models meet the standards of appraisals,No value adjustments should be necessary between comparable properties and the subject property,b,,PREP FL 16.24
"All investors desire their investments to increase in value. However,",the degree of return is inversely related to the degree of risk,"the more the investor stands to gain, the greater the risk that the investor may lose",investments requiring intense management have lesser returns,"the more liquid an investment is, the greater the chances are that the investment will not appreciate",b,,PREP FL 17.1
Two of the rewards that investments offer are,income and tax benefits,negative leverage and appreciation,appreciation and taxation,positive leverage and prestige,a,,PREP FL 17.2
An investor invests in fifteen diversified bond funds. This is an example of an investment in,money,equity,debt,real estate,c,,PREP FL 17.3
"A real estate investment can take a long period of time to sell. For the investor, this means that real estate is",management intensive,insensitive to marketing,vulnerable to seller's markets,relatively illiquid,d,,PREP FL 17.4
"Compared to a stock portfolio, a real estate investment would be considered",a riskier investment,a more management-intensive investment,a shorter-term investment,a more leveraged investment,b,,PREP FL 17.5
Taxable income produced by an income property is,gross income minus expenses plus land and building depreciation,gross income minus expenses minus land and building depreciation,gross income minus building depreciation plus land depreciation,gross income minus expenses minus building depreciation,d,,PREP FL 17.6
"As a general rule, in deriving taxable income on an investment property, it is legal to",deduct principal and interest payments from income,deduct principal payments from income,deduct interest payments from income,deduct principal and interest payments from income and capital gain,c,,PREP FL 17.7
Which of the following is true of the tax treatment of a principal residence?,The owner may deduct the property's interest and principal from ordinary income,The owner may depreciate the property and deduct depreciation expenses,The owner can deduct any capital gain when the property is sold,The owner may be able to exclude capital gain from taxable income when the property is sold,d,,PREP FL 17.8
"An investment property seller pays $14,000 in closing costs. These costs",may be deducted from personal income,may be deducted from the property's income,may be deducted from the sale price for gains tax purposes,may be deducted from the adjusted basis for gains tax purposes,c,,PREP FL 17.9
Capital gain tax is figured by multiplying one's tax bracket times,the sum of the beginning basis plus gain,the difference between net sale proceeds and adjusted basis,the sum of net sale proceeds and capital gain,the difference between net sale proceeds and capital gain,b,,PREP FL 17.10
Cash flow is a measure of how much pre-tax or after-tax cash an investment property generates. To derive cash flow it is therefore necessary to exclude,cost recovery expense,interest expense,loan principal payments,net operating income,a,,PREP FL 17.11
One way investors measure the yield of an investment is by,dividing net operating income by cash flow,multiplying the investor's required yield times after-tax cash flow,dividing cash flow by the investor's equity,multiplying cash flow times the price paid for the property,c,,PREP FL 17.12
"A corporation would like an agent to sell its country grocery store. Included in the sale are the inventory, equipment, and real property. The agent locates a full-price buyer who does not want to acquire any of the business's actual or potential liabilities. To do this transaction, the corporation would most likely",propose an asset sale,undertake a stock sale,propose an exchange,enter into a sale-leaseback transaction,a,,PREP FL 17.13
"A broker is reviewing the balance sheet of her new listing to sell a business. Three of the entries on the books are licenses, trademarks, and goodwill. These would be examples of",tangible assets,intangible assets,short-term liabilities,long-term liabilities,b,,PREP FL 17.14
"In business brokerage, the notion of goodwill is best defined as",the commitment by the agent to expend maximum effort on the listing,establishing pricing levels that will generate the good will of prospective customers,the value or price of the business over and above the value of its other assets,the portion of the sale price that is depreciable,c,,PREP FL 17.15
Which of the following is a similarity between selling real estate and selling a business?,Real property,Intangible assets,Liabilities,Personal property assets,a,,PREP FL 17.16
"Once a business seller and buyer enter into a purchase agreement, the buyer is given time to",sign a nondisclosure agreement,negotiate the contract,perform due diligence,transfer related funds,c,,PREP FL 17.17
Which of the following is true with respect to real property taxation by the federal government?,It may impose ad valorem property taxes and capital gain tax,It may not impose property taxes nor tax liens,There are no federal ad valorem taxes on real property,"It may impose ad valorem tax, but not capital gain tax",c,,PREP FL 18.1
"According to law, states",may not levy real estate taxes,may not impose tax liens,may delegate taxing authority to county governments,"may prevent federal taxation of real estate within their respective jurisdictions, if properly legislated",c,,PREP FL 18.2
The role of local tax districts is to,"levy income, sales, and property taxes to meet their budget requirements",manage their budgeted portion of real estate tax revenues levied and distributed by the state,impose property taxes for specific municipal services,place tax liens on its facilities,c,,PREP FL 18.3
A special tax district might be created to,construct and manage a park district,create a two-mile extension of county sewer facilities,establish and maintain a public library,create a fire department,b,,PREP FL 18.4
Ad valorem taxes are based on,the replacement value of property,the assessed value of property,the millage value of property,the broker's estimate of value,b,,PREP FL 18.5
The ad valorem tax base of a municipal jurisdiction is equal to,the jurisdiction's annual budget times the tax rate,the total of all assessed values of properties minus exemptions,the total amount of ad valorem taxes required by the budget,the municipality's budget multiplied times the millage rate,b,,PREP FL 18.6
"As part of the assessment process, many taxing entities utilize equalization boards in order to",adjust millage rates within the district to ensure fairness,modify the tax rate from one neighborhood to the next,ensure that property owners have nearly equal tax bills,smooth out wide discrepancies of assessed values within the district,d,,PREP FL 18.7
A homeowner receives a tax bill that she feels is outrageous. This taxpayer may,appeal to adjust the millage rate,appeal to adjust the district's budget,appeal to adjust the assessed valuation,not appeal,c,,PREP FL 18.8
The purpose of a homestead tax exemption is,to exempt qualified property owners from ad valorem taxation,to offer an amount of tax relief on an owner's principal residence,to encourage multiple property investment,to exempt owners of principal residences who rent their properties,b,,PREP FL 18.9
A millage rate is derived by,dividing the tax requirement by the tax base,multiplying the tax base times the tax requirement,adding an inflation factor to the prior year's tax rate,dividing the tax base by the tax requirement,a,,PREP FL 18.10
A homeowner's total tax bill is derived by,dividing the tax requirement by the tax base,multiplying each district's tax rate times the assessed value of the property,multiplying each district's tax rate times the taxable value of the property,"averaging the tax rate for each tax district, and multiplying the average tax rate times the assessed value",c,,PREP FL 18.11
A unique characteristic of a special assessment tax is that,it only applies to properties which will benefit from the public improvement,the equalization board discounts levies for properties not affected by the public improvement,more valuable properties which stand to benefit will pay proportionately more taxes,it creates an involuntary junior lien on the property,a,,PREP FL 18.12
A tax certificate,certifies to tax collectors that a property owner has paid all ad valorem taxes on the property for the calendar year,entitles its holder to apply for a tax deed after a certain period,exempts its holder from paying taxes on the particular property referenced by the certificate,waives a property owner's rights of redemption in a foreclosure,b,,PREP FL 18.13
An equitable right of redemption,allows a holder of a tax certificate to redeem it for a tax deed,gives a delinquent taxpayer a grace period prior to the tax sale to pay property taxes,gives a holder of a tax deed the right to acquire the property named in the tax certificate,gives a delinquent taxpayer a grace period after the tax sale to pay property taxes,b,,PREP FL 18.14
"In Florida, millage rates are limited to",2 mills,5 mills,7 mills,10 mills,d,,PREP FL 18.15
Just value is another term for the,assessed value,market value,taxable value,appraised value,b,,PREP FL 18.16
"When a homeowner wants to protest a property assessed amount, what is the final step he may make?",File an appeal with the adjuster,Request a judicial review,Initiate litigation,Appeal to a higher court,d,,PREP FL 18.17
Which is not required to qualify for a homestead exemption on property taxes?,Head of the family,Homestead title holder,Homestead resident for 1 year starting on January 1,Permanent residence,a,,PREP FL 18.18
Taxable value of a property is calculated by,multiplying the assessed value by the tax rate,subtracting the appraised value from the just value,subtracting exemptions from the assessed value,adding the assessed value to the just value,c,,PREP FL 18.19
A central goal of public land use planning is to,balance individual property rights with the community's welfare,develop an accord between property owners and tenants,impede development by for-profit developers and construction contractors,subordinate private interests to the public good,a,,PREP FL 19.1
The best definition of a master plan is,an annual review of all land use permits and zones,a comprehensive analysis of existing land use patterns in a market,a state or regional land use law requiring compliance on a county-by-county basis,a fusion of land use laws and local land use objectives and strategies,d,,PREP FL 19.2
The principal mechanism for implementing a master plan is,zoning,referendum,public elections,property management,a,,PREP FL 19.3
"Zoning, building codes, and environmental restrictions are forms of local land use control known as",force majeure,pre-emption,police power,concurrency,c,,PREP FL 19.4
A municipality may use its power of eminent domain to require a property owner to,pay higher property taxes,cede an easement without receiving any compensation,clean up the property,sell the property to the municipality,d,,PREP FL 19.5
"In most jurisdictions, the master plan is managed by",the mayor or county superintendent,the Board of Equalization,the planning commission,the zoning board of adjustment,c,,PREP FL 19.6
Counties and municipalities have the legal right to control land use due to,the doctrine of appropriation,delegation of authority by state-level enabling acts,custom and tradition,consensus of the local community through referendum,b,,PREP FL 19.7
"To be valid, a local zoning ordinance must","reasonably promote community health, safety and welfare",comply with federal zoning laws,apply only to unique properties,be published periodically in the local newspaper,a,,PREP FL 19.8
What is the fundamental purpose of a building permit?,To restrict the number of new development projects,To establish the basis for an inspection,To promote certificates of occupancy,To ensure that improvements comply with codes,d,,PREP FL 19.9
A primary objective of residential zoning is to,control the value ranges of homes in a neighborhood,regulate density,ensure that only a limited amount of commercial and industrial activity is permitted in a particular residential zone,maximize intensity of usage,b,,PREP FL 19.10
"A non-profit organization wants to erect a much-needed daycare center in a residential zone. Given other favorable circumstances, the local authorities grant permission by allowing",a special exception,an illegal nonconforming use,a variance,a license,a,,PREP FL 19.11
A property that conformed with zoning ordinances when it was developed but does not conform to new ordinances is said to be,a special exception,a variance,a legal nonconforming use,an anomaly,c,,PREP FL 19.12
One situation in which a zoning board might permit a variance is when,it would cause the property owner unreasonable hardship to bring the property into compliance with zoning ordinances,the property owner is the one who brings the variance to the attention of the zoning board,the variance was caused by a contractor rather than by the property owner,the property is in conflict with no more than one zoning ordinance,a,,PREP FL 19.13
The approval process for development of multiple properties in an area includes submission of,a covenant of restriction,a plat of subdivision,a court order,a developer's pro forma,b,,PREP FL 19.14
A county or municipal authority usually grants a certificate of occupancy for new construction only after,all contractors have been paid for services,all work has been completed for at least thirty days,the construction complies with building codes,the tax assessor has valued the improvement,c,,PREP FL 19.15
Which of the following promotes strong urban centers in local and state communities?,Florida’s Growth Policy Act,Florida’s Community Planning Act,Florida’s Department of Community Affairs,Florida Building Commission,a,,PREP FL 19.16
Which of a comprehensive plan’s elements must include standards for control of population densities?,Traffic circulation,Conservation of natural resources,Intergovernmental coordination,Future land use,d,,PREP FL 19.17
The Florida Building Code,is developed and updated at the local government level,includes risk categories based on wind speed,is updated every 5 years,was developed after Hurricane Katrina showed the need for more robust codes throughout the state,b,,PREP FL 19.18
R-value,refers to the risk factor of wind speed storms in coastal areas,refers to insulation’s resistance to heat flow,refers to requirements for building inspections,refers to the rate of population growth within special flood hazard areas,b,,PREP FL 19.19
"In real estate transactions, inspections for wood-destroying organisms must be performed by",a licensed building inspector,a licensed or certified building appraiser,a licensed pest control company inspector,any of the above,c,,PREP FL 19.20
Which of the following professionals involved in the real estate business are most concerned about managing real estate for clients?,Brokers and agents,Property managers,Corporate real estate managers,Appraisers,b,,PREP FL P1
Real estate can be defined as,land and all property contained therein,unimproved land,land and everything permanently attached to it,"air, surface, and subsurface rights",c,,PREP FL P2
Which of the following is included in the bundle of rights inherent in ownership?,To tax,To encroach,To possess,To inherit,c,,PREP FL P3
The overriding test of whether an item is a fixture or personal property is,whether the owner owns the property the item is affixed to,how it is described in a sale or lease contract,what the title records on the property indicate,how the buyer defines the item,b,,PREP FL P4
An owner of a lakefront property tells a fisherman that he cannot fish in a boat within fifty feet of the owner's shoreline. The fisherman protests that the owner cannot prevent him. Which of the following is true?,The fisherman is correct because the water and the land underlying it are public property,"The owner's prohibition is valid, since the underlying land belongs to abutting properties to the middle of the lake","The owner can prevent the fisherman from fishing within ten feet, but not beyond",The owner's prohibition is valid if all lakefront property owners have agreed to it,a,,PREP FL P5
The distinguishing feature of a defeasible fee simple estate is that,it only endures for the lifetime of the defeasee,it has no restrictions or conditions on use,it may revert to a grantor if the prescribed use changes,it is of limited duration,c,,PREP FL P6
Dower can best be defined as,a grant of foreclosure immunity extended to a homestead claimant,a wife's life estate interest in her husband's property,a husband's homestead exemption,a grantor who endows property to heirs,b,,PREP FL P7
A distinct feature of a joint tenancy is that joint tenants,may elect to have any percent of ownership in the property,cannot will their interest to a party outside the tenancy,own separate physical portions of the land,cannot lease the property,b,,PREP FL P8
"Interests in a condominium differ from those in a cooperative, in that","a default by a condominium owner may cause a foreclosure on the entire property instead of just a single unit, as with a cooperative","the condominium owner owns the common elements and the airspace, whereas the coop owner owns only the apartment","the coop owner owns stock in the cooperative association, whereas the condominium owner simply owns real estate",the cooperative owner must pay a pro rata share of the cooperative's expenses as well as rent,c,,PREP FL P9
"There are two adjoining properties. An easement allows property A to use the access road that belongs to property B. In this situation, property B is said to be which of the following in relation to property A?",Dominant tenement,Subordinate tenant,Servient estate,Conditional life tenant,c,,PREP FL P10
"Title records of a property reveal several recorded liens: a one-year old judgment lien; a mechanic's lien dating from two years ago; a special assessment tax lien recorded last month; and a first mortgage lien recorded five years ago. In case of a foreclosure, which of these liens will be paid first?",First mortgage lien,Special assessment tax lien,Mechanic's lien,Judgment lien,b,,PREP FL P11
A lender may terminate foreclosure proceedings if the defaulting borrower executes,a wraparound mortgage,a lis pendens,a waiver of redemption,a deed in lieu of foreclosure,d,,PREP FL P12
"A person has occupied a property for seven years, and no one has ever attempted to evict her or co-occupy the parcel. In this case, the person might base a claim of legal ownership on",her prescriptive easement,title records,constructive notice of possession,tenancy in severalty,c,,PREP FL P13
"A person wishes to convey any and all interests in a property to another with full assurances against encumbrances, liens, or any other title defects on the property. This party would most likely use which of the following types of deed?",A quitclaim deed,A general warranty deed,A deed in lieu of warrant,A guardian's deed,b,,PREP FL P14
The chain of title to a property refers to which of the following?,An abstract of the condition and marketability of title,The genealogy of successive heirs to a property,"The list of all current encumbrances and clouds ""chained"" to title",A chronology of successive owners of record,d,,PREP FL P15
A government entity takes title to a leased property by way of eminent domain. What happens to the lease?,It is extinguished,It remains in effect,It automatically renews at closing for its original term,"It moves with the owner to a new property, if purchased within one year",a,,PREP FL P16
The Florida Residential Landlord and Tenant Act fundamentally attempts to,"promote the rights of tenants, particularly in lease defaults",standardize rental rates,prevent the use of  unfair lease provisions,minimize rent escalations in economically depressed zones,c,,PREP FL P17
A primary objective of residential zoning is,regulate rates of appreciation and depreciation of residences,promote the value and planned land use of a neighborhood,"eliminate nonconforming uses, variances, and special exceptions",disperse intensity of usage,b,,PREP FL P18
"A shop was originally built in a commercial zone. The zone has since been changed to a residential zone. Zoning authorities permit the use, most likely as",a variance,a special exception,an illegal nonconforming use,a legal nonconforming use,d,,PREP FL P19
Authorities conduct comprehensive land use planning in order to,balance public interests with individual property rights,prevent the public from exercising police powers,ensure positive market conditions for development projects,limit growth,a,,PREP FL P20
The purpose of a formal legal description of a property is to,eliminate encroachments,locate and identify the property reliably,eliminate the possibility of surveyor error,qualify for title recordation,b,,PREP FL P21
A parcel is described as the SW 1/4 of the N 1/2 of the E 1/2 of Section 14. What is its acreage?,160 acres,80 acres,40 acres,20 acres,c,,PREP FL P22
"A suburb has a growing need for single-family housing, but the land available for new construction is running low. In this case, it is likely that the price of existing homes",will decline,will increase,will stabilize,will not show any predictable movement,b,,PREP FL P23
The demand for homes in a market is best expressed in terms of,square feet of housing required,number of contracts signed with developers,number of houses listed in the multiple listing service,number of households seeking housing,d,,PREP FL P24
What is the significance of base employment in a real estate market?,It gives the basic number of people who will need housing,It indicates the number of people at the low end of the buying power spectrum,"It drives total employment and population growth, which lead to demand for real estate",It indicates the number of people who want to move into the market,c,,PREP FL P25
The concept known as substitution states that,buyers will not substitute the quality of one home for the price of another,the replacement cost of an item cannot be substituted for the item's original value,a new improvement will only increase market value to the extent of the cost of a similar improvemen,"buyers will not pay more for a certain house than they would for another, similar house",d,,PREP FL P26
"The ""price that a willing, informed, and unpressured seller and buyer agree upon for a property, assuming a cash price and reasonable exposure of the property to the market"" describes which of the following concepts of value?",Highest and best value,Substitution value,Desirability,Market value,d,,PREP FL P27
A warehouse building lacks sufficient ceiling height for the operation of modern forklifts. This is an example of,non-conforming use,functional obsolescence,overimprovement,economic obsolescence,b,,PREP FL P28
"To derive value using the income capitalization approach, one must",divide the capitalization rate by net income,multiply net income times the capitalization rate,divide the capitalization rate into net income,multiply cash flow by the capitalization rate,c,,PREP FL P29
"An office building rents for $600,000, has expenses of $400,000, and a cash flow of $100,000. The prevailing gross rent multiplier is 8. Using the GRM, what is the value of the building?","$800,000","$1,600,000","$3,200,000","$4,800,000",d,,PREP FL P30
"An owner obtains a loan and gives the mortgagee a mortgage on the property as collateral. The mortgagor/owner retains title to the property, and the mortgagee records a lien. This is an example of",intermediation,contracting for deed,subordination,hypothecation,d,,PREP FL P31
An important characteristic of a promissory note is that,it is assignable,it must be secured by collateral,it is not a negotiable instrument,it must be recorded to be enforceable,a,,PREP FL P32
Disclosure of estimated closing costs is required of a lender in order to comply with,the Equal Credit Opportunity Act,Truth-in-Lending laws,Federal Fair Housing Laws,the Real Estate Settlement Procedures Act,d,,PREP FL P33
The secondary mortgage market organizations do all of the following EXCEPT,guarantee performance on mortgages,buy pools of mortgages from primary lenders,sell securities based on pooled mortgages,directly originate loans,d,,PREP FL P34
Negative amortization of a loan occurs whenever,monthly payments are interest-only,a payment does not pay the full amount of interest owed,the principal loan balance is diminishing,the interest rate increases on an adjustable rate loan,b,,PREP FL P35
