Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Explanation,Source
Which items are commonly included in the sale of a home?,Personal property,Furniture,Items commonly construed as fixtures,Patio sets and exterior furnishings,3,,FREPSA Quiz 17.9.
What happens if a buyer fails to perform his or her duties in a contract?,A sale contract is unilateral and requires that only the seller perform,The contract may go into default,The seller cannot seek legal recourse for damages,The seller cannot sue for specific performance,2,,FREPSA Quiz 17.10.
Which costs are typically covered by the buyer?,The buyer’s financing-related costs,Title-related costs,Property-related costs,The total annual property tax amount,1,,FREPSA Quiz 17.11.
"If the seller is a foreign person, the buyer must withhold ____ of the purchase price at closing and forward the withheld amount to the IRS",5%,15%,20%,25%,2,,FREPSA Quiz 17.12.
A CLUE Home Seller’s Disclosure Report shows a(n) ____ insurance-loss history for a specific property,180-day,one-year,three-year,five-year,4,,FREPSA Quiz 17.13.
Which of the following is the most common type of contingency?,Inspection contingency,Appraisal contingency,Financing contingency,Sale of buyer’s property contingency,3,,FREPSA Quiz 17.14.
What is the most common type of deed used in residential sales transactions?,General warranty deed,Trustee deed,Special warranty deed,Quitclaim deed,1,,FREPSA Quiz 17.15.
Homeowner Theresa owns the Northwestern ¼ of the Northwestern ¼ of the Northwestern ¼ of Section 4.  How many acres is that property?,4 acres,40 acres,10 acres,8 acres,3,,FREPSA Quiz 18.1.
"Spenser, who works for selling broker Smith, sells a house listed by listing broker Adams.  The house sells for $425,000.  The co-brokerage split between Smith and Adams is 50-50.  Spenser is on a 65% commission schedule with Smith.  If the total commission rate is 7%, what is Spenser's commission?","$9,669","$13,812","$14,875","$19,338",1,,FREPSA Quiz 18.2.
"Seller Andy requires a 3.5% deposit on all offers.  Buyer Josh wants to offer  $312,000 for the property. The property was appraised at $325,000. What must the earnest money deposit be if Josh presents his current offer?","$10,920","$11,375","$9,500","$10,538",1,,FREPSA Quiz 18.3.
"A house is being appraised using the sales comparison approach.  The house has three bedrooms, two bathrooms, and a patio.  The appraiser selects a comparable house that has three bedrooms, 2.5 bathrooms, and no patio.  The comparable house just sold for $100,000. A half-bath is valued at $5,000, and a patio at $1,000.  Assuming all else is equal, what is the adjusted value of the comparable?","$100,000","$104,000","$96,000","$106,000",3,,FREPSA Quiz 18.4.
"An apartment building that sold for $450,000 had monthly gross rent receipts of $3,000.  What is its monthly gross rent multiplier?",12.5,0.01,0.08,150,4,,FREPSA Quiz 18.5.
"A $300,000 loan has monthly interest-only payments of $2,000.  Its annual interest rate is:",4%,6%,8%,10%,3,,FREPSA Quiz 18.6.
"A lender determines that a homebuyer can afford to borrow $1,200,000 on a mortgage loan.  The lender requires an 80% loan-to-value ratio.  How much can the borrower pay for a property and still qualify for this loan amount?","$960,000","$1,060,000","$1,500,000","$1,600,000",3,,FREPSA Quiz 18.7.
"A loan applicant has an annual gross income of $36,000. How much will a lender allow the applicant to pay for monthly housing expense to qualify for a loan if the lender uses an income ratio of 28%?","$2,160",$840,"$1,008",$720,2,,FREPSA Quiz 18.8.
"Greg recently obtained an 80% loan on his $320,000 home, and he had to pay $4,480 for points.  How many points did he pay?",1.4 points,1.75 points,4.48 points,3.584 points,2,,FREPSA Quiz 18.9.
"A homeowner paid $1,850,000 for a house three years ago.  The house sells today for $2,390,000.  How much has the property appreciated?",23%,77%,29%,123%,3,,FREPSA Quiz 18.10.
"A property has a net income of $50,000, interest payments of $35,000, principal payments of $3,000, and annual cost recovery of $7,000.  The property's tax rate is 28%.  What is the property's annual tax on income?","$4,200.00","$3,360.00","$2,240.00","$1,400.00",3,,FREPSA Quiz 18.11.
"A property is purchased for $200,000.  Improvements account for 75% of the value.  Given a 39-year depreciation term, what is the annual depreciation expense?","$3,846","$5,128","$6,410","$8,294",1,,FREPSA Quiz 18.12.
"A homeowner sold her house and had net proceeds of $191,000.  Her adjusted basis in the home was $176,000. She immediately bought another house for $200,000.  What was her capital gain?","$191,000.00","$9,000.00","$15,000.00",None,3,,FREPSA Quiz 18.13.
"The village of Parrish has an annual budget requirement of $20,000,000 to be funded by property taxes.  Assessed valuations are $400,000,000, and exemptions total $25,000,000.  What must the tax rate be to finance the budget?",4.70%,5.33%,5.00%,11.25%,2,,FREPSA Quiz 18.14.
"Aaron finally found a buyer for his six-plex and closing is set for June 20th.  At closing, four of his tenants have paid their $650 rent and two of the units remain unoccupied.  What will the proration be assuming the 365-day method and that the closing day belongs to the seller?","Debit seller, credit buyer $1,733.30","Debit seller, credit buyer $866.70","Credit seller, debit buyer $866.70","Credit seller, debit buyer $1,733.30",2,,FREPSA Quiz 18.15.
"A town is replacing a sidewalk that serves five homes.  The length of the sidewalk is 200 feet. Mary's property has 38 feet of front footage.  If the cost of the project to be paid by a special assessment is $7,000, what will Mary's assessment be?","$1,400.00","$1,330.00",$184.00,"$1,840",2,,FREPSA Quiz 18.16.
What are the two principal types of real estate managers who oversee groups of properties?,Property managers and asset managers,Staff managers and management managers,Property managers and management managers,Lead managers and asset managers,1,,FREPSA Quiz P.1.
Paula is a member of the U.S. Air Force. What must she do to renew her real estate license?,Complete continuing education and apply for renewal,Apply for renewal and pay the renewal fee,"Complete continuing education, apply for renewal, and pay the renewal fee",Paula is exempt from renewal requirements,4,,FREPSA Quiz P.2.
"If a licensee does not renew an active license by the expiration date, what happens?",The license becomes voluntarily inactive,The license becomes null and void,The license becomes involuntarily inactive,"Nothing, the licensee is automatically given 2 years to renew the license",3,,FREPSA Quiz P.3.
"If Ursula changes employing brokers, she must notify the FREC of the change",immediately,within 30 days of the change,within 10 days after the change,There is no need to notify the FREC of an employing broker change,3,,FREPSA Quiz P.4.
Designated sales associates are used when,the brokerage wants to represent both the residential buyer and the residential seller,the nonresidential buyer and seller have assets of $1 million or more,any client requests the designation,the broker is handling any nonresidential sale,2,,FREPSA Quiz P.5.
Which of the following statements is true?,Transaction brokers owe fiduciary duties to their clients,The duty of limited confidentiality prevents the transaction broker from disclosing known material facts,Transaction brokers have no duty of undivided loyalty,Transaction brokers and single agents owe the same duties to their clients,3,,FREPSA Quiz P.6.
Brokerage relationship disclosure records must be retained,until the transaction closes,for 2 years,for 5 years,only if related to a legal proceeding,3,,FREPSA Quiz P.7.
What is an agent’s duty regarding inspections?,Personally conduct a detailed inspection of all major structures and systems,Accompany all inspectors as they inspect the agent’s listed property,"Disclose the result of any inspection, if known to the agent",Interview and hire inspectors for clients,3,,FREPSA Quiz P.8.
Under what circumstances may a licensee offer an opinion of title?,When the licensee develops the opinion of title with assistance from his employing broker,When the licensee obtains the opinion of title from an attorney and passes the information on to the client,When the licensee uses the abstract of title completed by the title company to develop the opinion of title,When the client does not wish to consult an attorney,2,,FREPSA Quiz P.9.
"In Florida, the unlicensed practice of law is a",misdemeanor of the third degree,first-degree felony,civil violation,third-degree felony,4,,FREPSA Quiz P.10.
What should a licensee be aware of if they are conducting cold calls?,That they are exempt from complying with the Do-Not-Call list,Phone calls before 8 a.m. and after 9 p.m. are prohibited,That cold calls by two or more licensees are illegal,That auto-dialers are only allowed if they are used for text messages,2,,FREPSA Quiz P.11.
What is mediation?,A legal procedure used if parties do not agree to arbitration,An informal conflict settlement procedure that is conducted by a qualified third party,A process conducted by one or more third party judges,A way for the broker to be removed from the dispute,2,,FREPSA Quiz P.12.
Which of the following is not a requirement of the Florida Americans with Disabilities Accessibility Implementation Act?,Allowing a service dog to live in a no-pet apartment building,Installing a ramp at the entrance to an apartment building where a wheel-chair-bound tenant lives,Widening the bathroom doorways to 29 inches in a new apartment building,Providing handicapped parking in an apartment building’s parking lot,1,,FREPSA Quiz P.13.
"If a lease agreement does not indicate where a security deposit is to be held, the landlord must provide that information to the tenant",prior to signing the lease,within 15 business days of signing the lease,within 30 days of receiving the deposit,That information must be in the lease,3,,FREPSA Quiz P.14.
A landlord has _______ to notify a vacated tenant of a claim against the tenant’s security deposit,7 days,15 days,30 days,45 days,3,,FREPSA Quiz P.15.
Which of the following is a protected class by the Florida Fair Housing Act?,Race,Marital status,Age,Occupation,1,,FREPSA Quiz P.16.
One difference between a cooperative estate and a condominium estate is that,"a default by a coop owner may cause a foreclosure on the entire property instead of just a single unit, as with a condominium",the condominium owner must pay expenses as well as rent,the coop owner owns stock and a freehold real estate interest whereas the condominium owner simply owns real estate,the condominium owner owns the common elements and the airspace whereas the coop owner only owns the apartment,1,,FREPSA Quiz P.17.
"Which disclosure requirement is consistent for condominiums, cooperatives, and HOAs?",Budget estimates,Right to cancel,Exchange program membership,No guaranteed selling price,2,,FREPSA Quiz P.18.
An important difference between a judicial foreclosure and a non-judicial foreclosure is,there is no right to redeem the property in a non-judicial foreclosure,a judicial foreclosure forces a sale of the property,a non-judicial foreclosure ensures that all liens are paid in order of priority,the lienor receives title directly in a non-judicial foreclosure,1,,FREPSA Quiz P.19.
Four principal determinants of value underlying the price for a product are,"durability, quality, scarcity, and materials","desire, utility, scarcity, and purchasing power","popularity, utility, quality, and discount","desire, costs, convenience, and time",2,,FREPSA Quiz P.20.
"Lakewood Ranch has a rapidly growing population, but there are no longer any vacant lots around the lake to build more houses. In this case, it is likely that the price of existing homes on the lake","will stabilize, since the population must stabilize",will increase,"will decline, since no further building can take place",will not show any predictable movement,2,,FREPSA Quiz P.21.
"If there is a significant undersupply of homes in a market, construction will tend to increase. This is an example of",supply outstripping demand,overpricing products,the price mechanism,the market tending toward equilibrium,4,,FREPSA Quiz P.22.
"In appraisal, loss of value in a property from any cause is referred to as",deterioration,obsolescence,depreciation,deflation,3,,FREPSA Quiz P.23.
The first two steps in the cost approach are to estimate the value of the land and the cost of the improvements. The remaining steps are,"estimate depreciation, subtract depreciation from cost, and add back the land value","subtract deterioration from cost, estimate land depreciation, and total the two values","estimate depreciation of land and improvements, subtract from original cost","estimate obsolescence, subtract from the cost of land and improvements",1,,FREPSA Quiz P.24.
"The roof of a property cost $10,000. The economic life of the roof is 20 years. Assuming the straight-line method of depreciation, what is the depreciated value of the roof after 3 years?","$10,000","$8,500","$7,000","$1,500",2,,FREPSA Quiz P.25.
The income capitalization approach to appraising value is most applicable for which of the following property types?,Single family homes,Apartment buildings,Undeveloped land,Churches,2,,FREPSA Quiz P.26.
Which of the following is true of the tax treatment of a principal residence?,The owner may deduct the property's interest and principal from ordinary income,The owner may depreciate the property and deduct depreciation expenses,The owner can deduct any capital gain when the property is sold,The owner may be able to exclude capital gain from taxable income when the property is sold,4,,FREPSA Quiz P.27.
"An investment property seller pays $19,750 in closing costs. These costs",may be deducted from personal income,may be deducted from the property's income,may be deducted from the sale price for gains tax purposes,may be deducted from the adjusted basis for gains tax purposes,3,,FREPSA Quiz P.28.
Capital gain tax is figured by multiplying one's tax bracket times,the sum of the beginning basis plus gain,the difference between net sale proceeds and adjusted basis,the sum of net sale proceeds and capital gain,the difference between net sale proceeds and capital gain,2,,FREPSA Quiz P.29.
Which homeowners’ policy is also known as renters’ insurance?,HO-0,HO-2,HO-4,HO-7,3,,FREPSA Quiz P.30.
Which of the following is a true statement about the “80% rule” for homeowner’s policies?,80% of replacement value is the maximum an insurance company will pay,"If insured for less than 80% of replacement cost, a home’s coverage will include a deduction for depreciation","If insured for 80% of replacement cost, a home is covered for the full cost of replacement",Insurance companies will not insure residences for less than 80% of their replacement cost,2,,FREPSA Quiz P.31.
A limitation of coverage on an insurance policy is called a(n),deductible,condition,exclusion,package,3,,FREPSA Quiz P.32.
In what sense is the use of standardized forms a risk management procedure?,It eliminates the risk of being unable to draft a contract correctly,It reduces the risk of losing a client by having to make a referral to an attorney,It reduces the risk of committing an unauthorized practice of law,It eliminates the risk of wasting valuable time in creating custom forms,3,,FREPSA Quiz P.33.
"Keeping thorough records of every transaction is not only a risk management technique, it is",good for company morale,helpful for business planning,a technique for discovering market trends,a legal requirement,4,,FREPSA Quiz P.34.
Which of the following communication records must (as opposed to should) be kept?,Notes on every conversation,Copies of required communications to principals,Notes from company training sessions,Business cards of licensees one meets at open houses,2,,FREPSA Quiz P.35.
The standard E & O policy covers damages resulting from,failure to disclose an environmental condition,antitrust violations,mishandling of earnest money deposits,"negligence, error or omission in carrying out professional services",4,,FREPSA Quiz P.36.
Which of the following is a common risk relating to the agency relationship?,Failing to inform and disclose properly,Failing to take a personal interest in a transaction,Acting as an exclusive agent without an oral agency agreement,Forgetting to record the listing agreement,1,,FREPSA Quiz P.37.
A ______ manages a property for one or more owners,building manager,maintenance manager,property manager,rental agent,3,,FREPSA Quiz P.38.
The Equal Credit Opportunity Act ensures that,all property managers evaluate potential tenants fairly and equally,less-qualified tenants be given easier application guidelines,all real estate agents treat clients equally,applicants get different opportunities based on their credit score tiers,1,,FREPSA Quiz P.39.
"If a landlord wants to evict a tenant, their first step is to _____.",have a court issue a judgment for possession,serve notice on the tenant a specified number of days before beginning the eviction suit,require the tenant to vacate,have a sheriff forcibly remove a tenant,2,,FREPSA Quiz P.40.
A resident manager typically ______.,lives on the property,manages a single large property,prepares retail leases for their tenants,manages commercial properties,1,,FREPSA Quiz P.41.
What is a tube that carries water away from the foundation footing called?,Downspout,Soil pipe,Drain tile,Vent pipe,3,,FREPSA Quiz P.42.
"An electrician is looking to insulate his electrical work, what should he use?",Asbestos,Vapor barrier,Copper,Plumber’s tape,1,,FREPSA Quiz P.43.
Which of the following is a high-priority activity in marketing listings?,Conducting weekly open houses,Showing prospects as many properties as possible in a given time period,Showing only your listings to buyers to maximize your income,Showing properties that match the customer’s requirements,4,,FREPSA Quiz P.44.
How would you go about determining the value of the seller’s property?,By identifying the net proceeds the seller must receive from the sale,By arriving at a price based on amount of the mortgage payoff,By determining how much the property has appreciated in value since it was purchased,By relying on an analysis of comparable properties which have recently sold in the same neighborhood,4,,FREPSA Quiz P.45.
What happens if a buyer fails to perform his or her duties in a contract?,A sale contract is unilateral and requires that only the seller perform,The contract may go into default,The seller cannot seek legal recourse for damages,The seller cannot sue for specific performance,2,,FREPSA Quiz P.46.
Which costs are typically covered by the buyer?,The buyer’s financing-related costs,Title-related costs,Property-related costs,The total annual property tax amount,1,,FREPSA Quiz P.47.
"Albert recently obtained an 80% loan on his $740,000 home, and he had to pay $8,880 for points.  How many points did he pay?",1.2 points,1.5 points,2.1 points,5.1 points,2,,FREPSA Quiz P.48.
"Harry paid $800,000 for a house three years ago.  The house sells today for $925,000.  How much has the property appreciated (rounded to the nearest one tenth percent)?",5.80%,86.50%,15.60%,20.00%,3,,FREPSA Quiz P.49.
"A property has a net income of $450,000, interest payments of $125,000, and annual cost recovery of $80,000.  The property's tax rate is 32%.  What is the property's annual tax on income?","$144,000","$118,400","$104,000","$78,400",4,,FREPSA Quiz P.50.
